1-1:基礎数学B:兼下:教室,1-2:保健体育:兼村-東畑:動的,1-3:英語A:竹内:11-103,IS2:プログラミング基礎:藤原 奥村 園田:5-102 8-401 11-202 11-301,IT2:プログラミング基礎:藤原 奥村 園田:5-102 8-401 11-202 11-301,IE2:プログラミング基礎:藤原 奥村 園田:5-102 8-401 11-202 11-301,IS3:物理Ⅲ:加賀谷:教室,IT3:ネットワーク基礎:複数:2-202,IE3:微分積分Ⅱ:佐藤健:教室,IE4:回路工学:馬場:教室,IS4:情報数学:岡本:教室,IN4:電子回路:今井:教室,IE5:応用物理Ⅱ:藤木:教室,IS5:情報システム概論:IS全教員:8-303,IN5:無線通信システム:複数:教室
1-1:英語A:竹内:11-103,1-2:化学:小松:教室,1-3:保健体育:兼村-東畑:動的,IS2:英語B:福地:教室,IT2:物理:穂坂:4-205,IE2:微分積分:下田:教室,IS3:微分積分Ⅱ:佐藤健:教室,IT3:第Ⅰ類基礎実験:複数:2-202,IE3:第Ⅰ類基礎実験:複数:3-103 8-401,IE4:電磁気学A:園田:教室,IS4:応用プログラミングA:複数:5-102,IN4:コンピュータシステム:奥村:教室,IE5:技術者論理:複数:11-301,IS5:技術者論理:複数:11-301,IN5:技術者論理:複数:11-301
1-1:保健体育:兼村-東畑:動的,1-2:英語B:福地:教室,1-3:化学:小松:教室,IS2:物理:穂坂:4-205,IT2:微分積分:下田:教室,IE2:代数幾何:兼下:教室,IS3:英語AⅢ:久保田:教室,IT3:微分積分Ⅱ:佐藤健:教室,IE3:物理Ⅲ:松枝:教室,IE4:知能エレクトロニクス制作:複数:3-103 3-109,IS4:ソフトウェア工学基礎:高橋(晶):8-203,IN4:電磁気学:岩井:教室,IE5:知能エレクトロニクス実験Ⅱ:IE全教員:不定,IS5:卒業研究:-:-,IN5:ネットワーキング技術Ⅲ:複数:2-202
1-1:H•R:加賀谷:教室,1-2:H•R:穂坂:教室,1-3:H•R:兼下:教室,IS2:HR:??:教室等,IT2:HR:??:教室等,IE2:HR:??:教室等,IS3:HR:??:教室?,IT3:HR:??:教室?,IE3:HR:??:教室?,IE4:-:-:-,IS4:-:-:-,IN4:-:-:-,IE5:-:-:-,IS5:-:-:-,IN5:-:-:-
