法学憲法:高橋(勇):2-102,情報理論:岡本:2-102,線形代数:長谷部:11-301,__:__:__
データ工学:竹島:8-401,ソフトウェア工学基礎:藤原:8-401,__:__:__,電子機器設計基礎:末永:11-202
化学特論:小松:教室,電子回路:今井:11-301,融合型PBL:複数教員:複数教室,融合型PBL:複数教員:複数教室,フランス語:IsabelleSARDE:2-102
電子材料:川崎:8-401,総合英語Ⅰ:ワーナー川原ジェシー:11-103,機構学:熊谷(和):8-303,第Ⅰ類実験Ⅰ:__:__
電磁気学:柏葉:教室,健康とスポーツ:兼村:グラウンド・体育,ネットワーク理論:千葉 菅野:8-203・2-202・11-202,フーリエ解析:長谷部:11-301
